contest_id,jurisdiction,party,name_zh,name_en,file,licence,attribution,source_url,status
TPE-COUNCIL-6,臺北市,KMT,曾獻瑩,,KMT-TPE-COUNCIL-6-2416907D.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-7,臺北市,KMT,李芳儒,,KMT-TPE-COUNCIL-7-A8EDEBE3.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
NTP-COUNCIL-8,新北市,DPP,張維倩,,DPP-NTP-COUNCIL-8-22D0A8CE.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-1,新北市,KMT,陳偉杰,,KMT-NTP-COUNCIL-1-0934058F.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-2,新北市,KMT,蔡淑君,,KMT-NTP-COUNCIL-2-CB1E96B0.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-2,新北市,KMT,陳明義,,KMT-NTP-COUNCIL-2-2E936389.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-4,新北市,KMT,黃桂蘭,,KMT-NTP-COUNCIL-4-F2ED0FE2.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-4,新北市,KMT,王威元,,KMT-NTP-COUNCIL-4-1A407F47.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-5,新北市,KMT,林國春,,KMT-NTP-COUNCIL-5-8257A0B0.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-5,新北市,KMT,曾煥嘉,,KMT-NTP-COUNCIL-5-311B6BC4.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
